source,text,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,label
Original,"It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me...",0.017401359975337982,0.0027237774338573217,0.015809040516614914,0.03646653890609741,0.07047360390424728,0.1741822361946106,0.006836368702352047,0.005165275651961565,0.02485799230635166,0.051778361201286316,0.037165965884923935,0.009808978997170925,0.006323548033833504,0.004574338905513287,0.01723397523164749,0.0024804556742310524,0.005914725363254547,0.023369964212179184,0.24909251928329468,0.02345040813088417,0.039252880960702896,0.004554429091513157,0.02475285902619362,0.006796033587306738,0.0036967757623642683,0.04627528414130211,0.001067792996764183,0.08849456161260605,love
augmented_1,"It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me...",0.017401359975337982,0.0027237774338573217,0.015809040516614914,0.03646653890609741,0.07047360390424728,0.1741822361946106,0.006836368702352047,0.005165275651961565,0.02485799230635166,0.051778361201286316,0.037165965884923935,0.009808978997170925,0.006323548033833504,0.004574338905513287,0.01723397523164749,0.0024804556742310524,0.005914725363254547,0.023369964212179184,0.24909251928329468,0.02345040813088417,0.039252880960702896,0.004554429091513157,0.02475285902619362,0.006796033587306738,0.0036967757623642683,0.04627528414130211,0.001067792996764183,0.08849456161260605,love
augmented_2,"It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me...",0.017401359975337982,0.0027237774338573217,0.015809040516614914,0.03646653890609741,0.07047360390424728,0.1741822361946106,0.006836368702352047,0.005165275651961565,0.02485799230635166,0.051778361201286316,0.037165965884923935,0.009808978997170925,0.006323548033833504,0.004574338905513287,0.01723397523164749,0.0024804556742310524,0.005914725363254547,0.023369964212179184,0.24909251928329468,0.02345040813088417,0.039252880960702896,0.004554429091513157,0.02475285902619362,0.006796033587306738,0.0036967757623642683,0.04627528414130211,0.001067792996764183,0.08849456161260605,love
Original,"He explained his motivation for… 
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for m...",0.21714216470718384,0.004784578923135996,0.0035260552540421486,0.012525794096291065,0.0727037861943245,0.01752350851893425,0.0038351353723555803,0.0049610319547355175,0.016130147501826286,0.01117878407239914,0.0175766758620739,0.002457998925819993,0.0013090574648231268,0.03065650537610054,0.0008699005120433867,0.004006819799542427,0.0005412620375864208,0.045656055212020874,0.3936948776245117,0.0009807576425373554,0.03636070713400841,0.004683149512857199,0.01603388786315918,0.0018703481182456017,0.000592225173022598,0.004185378085821867,0.0024681829381734133,0.07174529880285263,love
augmented_1,"He explained his motivation for… 
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for m...",0.21714216470718384,0.004784578923135996,0.0035260552540421486,0.012525794096291065,0.0727037861943245,0.01752350851893425,0.0038351353723555803,0.0049610319547355175,0.016130147501826286,0.01117878407239914,0.0175766758620739,0.002457998925819993,0.0013090574648231268,0.03065650537610054,0.0008699005120433867,0.004006819799542427,0.0005412620375864208,0.045656055212020874,0.3936948776245117,0.0009807576425373554,0.03636070713400841,0.004683149512857199,0.01603388786315918,0.0018703481182456017,0.000592225173022598,0.004185378085821867,0.0024681829381734133,0.07174529880285263,love
augmented_2,"He explained his motivation for… 
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for m...",0.21714216470718384,0.004784578923135996,0.0035260552540421486,0.012525794096291065,0.0727037861943245,0.01752350851893425,0.0038351353723555803,0.0049610319547355175,0.016130147501826286,0.01117878407239914,0.0175766758620739,0.002457998925819993,0.0013090574648231268,0.03065650537610054,0.0008699005120433867,0.004006819799542427,0.0005412620375864208,0.045656055212020874,0.3936948776245117,0.0009807576425373554,0.03636070713400841,0.004683149512857199,0.01603388786315918,0.0018703481182456017,0.000592225173022598,0.004185378085821867,0.0024681829381734133,0.07174529880285263,love
Original,"Look, if you had one shot or one opportunity
To seize everything you ever wanted in one moment
Would you capture it or just let it slip?
His palms are sweaty, knees weak, arms are heavy
There's vomit ...",0.009853024035692215,0.0033910367637872696,0.02111658826470375,0.07591813802719116,0.04487193375825882,0.03769971430301666,0.02083795703947544,0.06382143497467041,0.015270802192389965,0.03752585127949715,0.03732546046376228,0.014794908463954926,0.0035824240185320377,0.0025975557509809732,0.00628172792494297,0.0011746041709557176,0.0015343755949288607,0.0026258337311446667,0.0005314298905432224,0.006978057324886322,0.09886126965284348,0.002228641416877508,0.02838141843676567,0.0023578517138957977,0.0017539587570354342,0.012134825810790062,0.003451988101005554,0.44309720396995544,neutral
augmented_1,"Look, if you had one shot or one opportunity
To seize everything you ever wanted in one moment
Would you capture it or just let it slip?
His palms are sweaty, knees weak, arms are heavy
There's vomit ...",0.009853024035692215,0.0033910367637872696,0.02111658826470375,0.07591813802719116,0.04487193375825882,0.03769971430301666,0.02083795703947544,0.06382143497467041,0.015270802192389965,0.03752585127949715,0.03732546046376228,0.014794908463954926,0.0035824240185320377,0.0025975557509809732,0.00628172792494297,0.0011746041709557176,0.0015343755949288607,0.0026258337311446667,0.0005314298905432224,0.006978057324886322,0.09886126965284348,0.002228641416877508,0.02838141843676567,0.0023578517138957977,0.0017539587570354342,0.012134825810790062,0.003451988101005554,0.44309720396995544,neutral
augmented_2,"Look, if you had one shot or one opportunity
To seize everything you ever wanted in one moment
Would you capture it or just let it slip?
His palms are sweaty, knees weak, arms are heavy
There's vomit ...",0.009853024035692215,0.0033910367637872696,0.02111658826470375,0.07591813802719116,0.04487193375825882,0.03769971430301666,0.02083795703947544,0.06382143497467041,0.015270802192389965,0.03752585127949715,0.03732546046376228,0.014794908463954926,0.0035824240185320377,0.0025975557509809732,0.00628172792494297,0.0011746041709557176,0.0015343755949288607,0.0026258337311446667,0.0005314298905432224,0.006978057324886322,0.09886126965284348,0.002228641416877508,0.02838141843676567,0.0023578517138957977,0.0017539587570354342,0.012134825810790062,0.003451988101005554,0.44309720396995544,neutral
Original,"My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's gettin' ...",0.09098435938358307,0.01614398881793022,0.021668266505002975,0.05494355782866478,0.05255558714270592,0.02516450732946396,0.012009912170469761,0.03069196082651615,0.018868885934352875,0.0899406224489212,0.015000301413238049,0.013419385999441147,0.010883561335504055,0.011198719032108784,0.008359953761100769,0.0025783355813473463,0.007256893906742334,0.040873557329177856,0.09756500273942947,0.013333394192159176,0.021658949553966522,0.007427913136780262,0.03541269898414612,0.005830674897879362,0.004013613797724247,0.11867334693670273,0.0035533886402845383,0.16998857259750366,neutral
